Day,Open,High,Low,Close,Volume
1,790.219971,797.659973,786.27002,794.200012,1225900
2,796.76001,798.650024,793.27002,796.419983,925100
3,795.840027,796.676025,787.099976,794.559998,1208700
4,792.359985,793.320007,788.580017,791.26001,969100
5,790.900024,792.73999,787.280029,789.909973,623400
6,790.679993,797.859985,787.656982,791.549988,789100
7,793.700012,794.22998,783.200012,785.049988,1132700
8,783.330017,785.929993,778.919983,782.789978,742200
9,782.75,782.780029,770.409973,771.820007,1760200
10,778.809998,789.630005,775.799988,786.140015,1643100
11,788.359985,791.340027,783.159973,786.900024,1065400
12,786.080017,794.47998,785.02002,794.02002,1315400
13,795.26001,807.900024,792.203979,806.150024,1620500
14,806.400024,809.966003,802.830017,806.650024,1272400
15,807.859985,809.130005,803.51001,804.789978,1174300
16,805,808.150024,801.369995,807.909973,1057900
17,807.140015,807.390015,799.169983,806.359985,1351000
18,807.47998,811.223999,806.690002,807.880005,1090100
19,807.080017,807.140015,800.369995,804.609985,1355800
20,805.809998,806.205017,800.98999,806.070007,1293300
21,805.119995,809.47998,801.799988,802.174988,912000
22,806.909973,806.909973,801.690002,805.02002,1645000
23,807.25,820.869995,803.73999,819.309998,1901600
24,822.299988,825.900024,817.820984,823.869995,1461000
25,829.619995,835.77002,825.059998,835.669983,1494500
26,837.809998,838,827.01001,832.150024,2734400
27,834.710022,841.950012,820.440002,823.309998,2951800
28,814.659973,815.840027,799.799988,802.320007,3228900
29,796.859985,801.25,790.52002,796.789978,2143500
30,799.679993,801.190002,791.190002,795.695007,2023300
31,793.799988,802.700012,792,798.530029,1525800
32,802.98999,806,800.369995,801.48999,1460400
33,799.700012,801.669983,795.25,801.340027,1174200
34,803.98999,810.5,801.780029,806.969971,1235200
35,807,811.840027,803.190002,808.380005,1155300
36,809.51001,810.659973,804.539978,809.559998,989700
37,811.700012,815.25,809.780029,813.669983,1129100
38,816,820.958984,815.48999,819.23999,1198100
39,819,823,816,820.450012,1053600
40,819.359985,823,818.469971,818.97998,1304000
41,819.929993,824.400024,818.97998,824.159973,1281700
42,823.02002,828.070007,821.655029,828.070007,1597800
43,828.659973,833.450012,828.349976,831.659973,1247700
44,828.659973,833.25,828.640015,830.76001,982900
45,830.119995,832.460022,822.880005,831.330017,1470100
46,827.72998,829,824.200012,828.640015,1386600
47,824.549988,830.5,824,829.280029,1099500
48,825.609985,828.539978,820.200012,823.210022,2252300
49,828.849976,836.255005,827.26001,835.23999,1491400
50,833.849976,834.51001,829.640015,830.630005,937700
51,830.559998,831.359985,825.750977,829.080017,888900
52,826.950012,828.880005,822.400024,827.780029,1105800
53,827.400024,833.409973,826.52002,831.909973,1016600
54,833.51001,838.150024,831.789978,835.369995,988700
55,836,842,834.210022,838.679993,1259900
56,843.280029,844.909973,839.5,843.25,1701100
57,844,848.684998,843.25,845.539978,1149500
58,843.640015,847.23999,840.799988,845.619995,779900
59,847.590027,848.630005,840.77002,847.200012,1379600
60,849.030029,850.849976,846.130005,848.780029,970400
61,851.609985,853.400024,847.109985,852.119995,1712300
